Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short,Number
Reilly Chausse,Fr.,L,5-4,"Orland Park, IL",Carl Sandburg,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,7
Evridiki Eleftheriadou,Fr.,OH,6-1,"Mytilene, Greece",,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,21
Martina Villani,So.,S,6-2,"Tradate, Italy",Liceo Leonardo Da Vinci,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,5
Isabelle Percoco,Sr.,RS,6-0,"Charlotte, NC",South Mecklenburg,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,2
Payton Evans,Fr.,S,5-6,"Cincinnati, OH",Mason,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,3
Delaney Gash,Fr.,OH,5-11,"Lexington, KY",Paul Laurence Dunbar,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,13
Eliska Vytiskova,So.,S,5-9,,,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,18
Emanouela Christodoulou,Sr.,OH,6-0,"Eretria, Greece",,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,4
Karleighana Jones,Sr.,MB,6-3,"White Plains, NY",White Plains,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,17
Jordyn Towns,So.,MB,6-6,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,4
Kyla Dunaway,So.,OH,6-4,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,22
Malia Moore,Sr.,S,5-8,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,10
Callie Kieffer,So.,S,5-10,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,2
Francesca Bertucci,Sr.,DS,5-5,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,21
Lilly Hopkins,So.,DS,5-6,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,15
Allison Berent,So.,DS,5-7,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,3
Gabbi LeBlanc,So.,S,5-8,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,12
Kaleigh Palmer,So.,OH,6-4,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,11
Paris Thompson,Sr.,OH,6-1,"Fort Myers, FL",,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,17
Ellery Rees,Fr.,MB,6-3,"Chicago, IL",Mother McAuley,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,7
Lindsey Brown,Fr.,DS,5-7,,Edgewood Academy,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,8
Chaise Campbell,Sr.,MB,6-3,,,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,23
Leilia Toailoa,Fr.,OH,6-2,"Las Vegas, NV",Bishop Gorman HS,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,18
Sophie Agee,So.,OH,6-2,"Houston, TX",,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,16
Natalie Repetti,Sr.,L,5-10,"Cypress, CA",Cypress HS,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,24
Ashby Daniel,Fr.,MB,6-3,"Murphy, TX",Plano East Senior HS,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,6
Addison Engel,Fr.,MB,6-5,"Niwot, CO",Niwot HS,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,14
Hannah Parant,Fr.,S,6-1,"Mountain Brook, AL",Mountain Brook HS,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,27
Kayla Keshock,Sr.,S,6-1,"Spanish Fort, AL",,8,University of Alabama,911.0,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25,Alabama,SEC,9
Michell Jerez Jerez,Sr.,L,5-5,"Santo Domingo, Dominican Republic",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,3
Nevaeh Johnson,So.,MB,6-3,"Desoto, TX",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,7
Saldy Amparo Smith,Sr.,OH,6-2,"Santo Domingo, Dominican Republic",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,2
Kennedy Robinson,Jr.,L/DS,5-5,"Montgomery, AL",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,9
Kemora Coachman,Jr.,MB,5-9,"Huntsville, AL",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,16
Ryann Tolbert,Sr.,RS,6-0,"Southfield, MI",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,32
Caitlin Shaw,Jr.,OH,6-1,"Desoto, TX",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,4
Grace Tapscott,Jr.,S,5-10,"Hartselle, AL",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,34
Keyara Brooks,Sr.,S,5-11,"Arlington, TX",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,21
Saniya Spalding,Jr.,MB,6-0,"Merrillville, IN",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,22
Myiah Porter,Sr.,RS,5-11,"Rockford, IL",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,14
Wendy Martinez Martinez,Sr.,MB,6-3,"Medellin, Colombia",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,25
Nhya Morgan,Fr.,MB,6-0,"Limón, Costa Rica",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,15
Mackenzie Jarvis,Jr.,DS,5-6,"Detroit, MI",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,11
Bailey Duckett,Jr.,OH,5-10,"Huntsville, AL",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,6
Caitlyn Hollinquest,Fr.,OH,5-9,"Suwanee, GA",North Gwinnett HS,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,5
Nisaan Martinez,Fr.,MB,6-3,"Belmopan, Belize",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,0
Fatima Ramirez,Sr.,OH,6-2,"Belmopan, Belize",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,12
Alyssa Williams,Fr.,RS,6-6,"Corona, CA",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,20
Tam Nguyen,So.,DS,5-1,"Huntsville, AL",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,1
Madison Raybon,Sr.,RS,6-1,"Huntsville, AL",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,8
Laela Price,Jr.,S,5-7,"Port Charlotte, FL",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,13
Madison Drummond,Fr.,DS,5-6,"Baltimore, MD",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,24
Apsen Creekmore,Fr.,OH,6-1,"Loganville, GA",,6,Alabama A&M University,916.0,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25,Alabama A&M,SWAC,23
Christyn Ashby,Sr.,OH,6-0,"Atlanta, GA",Riverwood HS,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,12
Kaylen Hines,So.,MH,6-0,"South Holland, IL",Thornwood HS,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,22
Essence Jones,So.,MH,5-11,"Alpharetta, GA",Alpharetta HS,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,16
Brooke Adams,Jr.,S,5-6,"Cypress, TX",Bridgeland HS,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,19
Camille Clarke,Jr.,DS,5-4,"Salt Lake City, UT",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,4
Sierra Scanlan,Jr.,S,5-8,,,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,5
Jayli Nealy,Jr.,RS,6-3,"Los Angeles, CA",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,7
Temperance Chatman,Sr.,DS,5-1,"Jasper, AK",Jasper HS,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,23
Kamrynn Clay,Fr.,S,5-8,"Saint Hedwig, TX",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,14
Bailee Payne,Fr.,OH,5-10,"Baytown, TX",Sterling,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,6
Laila Wooldridge,Jr.,MB,6-1,"Coral Springs, FL",Coral Glades,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,2
Jyriah Morgan,So.,OH,5-11,"Pleasant Grove, AL",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,1
Taylor Williams,Fr.,OH,5-10,"Cypress, TX",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,8
Norielle Battle,Fr.,OH,5-9,"Gilbert, AR",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,3
A'Nylah Cobb,Sr.,RS,5-10,"Tallahassee, FL",Leon HS,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,11
Zanobia Willis,Sr.,MB,6-0,"Dallas, TX",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,20
Breanna Swanson,Fr.,DS,5-3,"Cypress, TX",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,21
Lyndsay Harris,Fr.,RS,6-0,"Huntingtn Bch, CA",,7,Alabama State University,916.0,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25,Alabama St.,SWAC,99
Jorda Crook,So.,OPP,6-0,"Ohatchee, AL",Ohatchee,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,2
Chloe Rodriguez,Sr.,MB,6-2,"Portland, TX",Gregory Portland,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,21
Delaney Bowser,Jr.,DS,5-9,"McCordsville, IN",Mt. Vernon,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,12
Mia Reese,So.,OH,6-0,"Nashville, TN",Hillsboro,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,24
Brooklyn Allison,So.,L/DS,5-6,"Birmingham, AL",Spain Park,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,7
Madison Page,Sr.,MB,6-0,"Marietta, GA",Kell,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,15
Izabella Carter,Jr.,S,5-11,"Lexington, KY",Bryan Station,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,11
Kelsey Smith,Jr.,S,5-11,"Cicero, IN",Hamilton Heights,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,13
Summer Snead,So.,MB,6-1,"Nashville, TN",Hillsboro,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,23
Katia Nikolic,So.,OH,6-0,"St. John, IN",Lake Central,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,10
Shayla Henry,Fr.,OH,5-10,"Port Saint Lucie, FL",Port St. Lucie West,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,8
Abby Jones,Fr.,OH,6-0,"Johns Creek, GA",Johns Creek,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,3
Meg Jarrett,Fr.,L/DS,5-7,"Madison, AL",Bob Jones,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,5
Annastiina Tarkkanen,Fr.,S,5-10,"Orivesi, Finland",,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,18
Asli Celikkol,Sr.,OH,6-2,"Izmir, Turkey",,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,16
Anna Hewitt,Sr.,L/DS,5-9,"Bowling Green, KY",Greenwood,9,University of Alabama at Birmingham,823.0,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25,UAB,AAC,4
Brooke Malek,Jr.,L/DS,5-7,"Edmonton, Canada",Harry Ainley,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,2
Emilia Kuzniar,So.,S,5-10,"Przemysl, Poland",Sports Championship,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,16
Gabriella Karman,Jr.,MB,6-1,"Orlando, FL",Lake Nona,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,3
Shynelle Woroniuk,Sr.,OH,6-0,"Red Deer, Canada",Notre Dame,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,4
Anna Myhal,Jr.,OH,5-11,"Poltava, Ukraine","High Sports School (Stezyca, Poland)",14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,7
Campbell Robinson,So.,MB,6-2,"Cincinnati, OH",Milford,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,14
Tori Wilson,Jr.,MB,6-0,"Allen, TX",Allen,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,12
Kendall Harris,Sr.,OPP,5-10,"Houston, TX",St. Agnes Academy,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,22
Maria Olga Siapani,Fr.,S,5-8,"Limassol, Cyprus",Grammar School of Limassol,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,1
Elisavet Papageorgiou,Sr.,OPP,6-0,"Ilioupoli, Greece",1st High School of Iliopoulis,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,17
Kiki Provatas,Fr.,L/DS,5-6,"Palm Harbor, FL",Calvary Christian,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,5
Kasia Barletta,Fr.,L/DS,5-4,"Clifton Park, NY",Shenendehowa,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,9
Nia Gibson,Fr.,RS,6-0,"Bowie, MD",Elizabeth Seton,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,11
Sabrina Kinkaid,Fr.,MB,6-2,"Ballston Lake, NY",Shenendehowa,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,15
Dora Filipovic,Jr.,OH,6-1,"Zagreb, Croatia",Gymnasium Lucijan Vranjanin,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,6
Sthefany Carvalho,Sr.,L/DS,5-6,"Uberlandia, Brazil",Colegio Nacional - Uberlndia,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,8
Zosia Szczotkiewicz,Sr.,S,6-2,"Walcz, Poland",SMS PZPS Szczryk,14,University at Albany,845.0,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25,UAlbany,America East,20
Harmoni Carswell,So.,DS,5-5,"Atlanta, GA",Fort Walton,17,Alcorn State University,916.0,Southwestern Athletic Conf.,www.alcorn.edu,www.alcornsports.com,MS,D-I,2024-25,Alcorn,SWAC,21
Andria Lewis,Jr.,DS,5-1,"Baton Rouge, LA",Scotlandville Magnet,17,Alcorn State University,916.0,Southwestern Athletic Conf.,www.alcorn.edu,www.alcornsports.com,MS,D-I,2024-25,Alcorn,SWAC,3
Jalayah Hamby,So.,MB,5-11,"Jeffersonville, IN",Jeffersonville,17,Alcorn State University,916.0,Southwestern Athletic Conf.,www.alcorn.edu,www.alcornsports.com,MS,D-I,2024-25,Alcorn,SWAC,14
Sa'Mya Tate,So.,DS,5-6,"Port Gibson, MS",Port Gibson,17,Alcorn State University,916.0,Southwestern Athletic Conf.,www.alcorn.edu,www.alcornsports.com,MS,D-I,2024-25,Alcorn,SWAC,6
Cayla Williams,So.,RS,5-9,"Midlothian, TX",Midlothian Heritage,17,Alcorn State University,916.0,Southwestern Athletic Conf.,www.alcorn.edu,www.alcornsports.com,MS,D-I,2024-25,Alcorn,SWAC,4
Brooklyn Shook,Sr.,DS,5-6,"Wichita, KS",Wichita Northwest,17,Alcorn State University,916.0,Southwestern Athletic Conf.,www.alcorn.edu,www.alcornsports.com,MS,D-I,2024-25,Alcorn,SWAC,20
