Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short,Number
Zoe Smith,Jr.,OH,5-10,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,18
Bella Burney,So.,MB,6-0,"Tumwater, WA",Tumwater,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,14
Hannah Trotter,Fr.,S,5-9,"Wauwatosa, WI",Wisconsin Lutheran,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,7
Bethany Tuchardt,Sr.,OH,6-2,"Battle Ground, WA",Battle Ground,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,3
Kadyn Osborne,Sr.,S,5-10,"Anchorage, AK",Dimond,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,4
Madison Galloway,Jr.,L/DS,5-4,"Pensacola, FL",Pensacola Catholic,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,9
Sydney Johnson,Jr.,DS,5-7,"Newberg, OR",Westview,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,10
Larssen Anderson,Jr.,OH,6-0,"Anchorage, AK",Dimond,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,11
Martina Riba,Fr.,MB,6-0,"Llagosetera, Spain",,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,1
Leilani Elder,Sr.,MB,6-0,"Kansas City, MO",,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,18
Tia Allen,Jr.,OH,5-11,"Clayton, WA",Mt. Spokane,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,2
Katie Birtcil,Sr.,OH,6-0,"Tucson, AZ",Ironwood Ridge,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,12
Reilly McCue,Fr.,L/DS,5-3,"Ketchikan, AK",Ketchikan,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,17
Avery Northcutt,Jr.,MB,6-3,"Anchorage, AK",Bettye Davis East,11,University of Alaska Anchorage,30012.0,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25,Alas. Anchorage,Great Northwest,16
Josie Jansen,Sr.,MB,6-2,"Sandy, OR",Sandy High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,8
Cynphany Henderson,So.,S,5-9,"Otsego, MN",St. Michael-Albertville High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,11
Kinley Erickson,Sr.,L,5-4,"North Pole, AK",North Pole High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,7
Ainsley Smith,Jr.,S,5-10,"North Pole, AK",North Pole High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,17
Karli Nielson,Sr.,OH,5-11,"South Weber, UT",Northridge High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,6
Kristina Head,Sr.,MB,6-0,"Lyons, KS",Lyons High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,15
Rilee White,Sr.,OH,5-11,"Goodyear, AZ",The Odyssey Institute,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,10
Elena Guc,Jr.,RS,6-0,"East China, MI",Cardinal Mooney Catholic High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,1
Presley Engelauf,Fr.,MB,6-0,"Englewood, FL",Lemon Bay High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,2
Rachel Pierce,Sr.,OH,6-2,"Rockbridge, OH",Logan High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,3
Larissa Barreiros Scatamburlo,Jr.,OPP,5-11,"Rio de Janeiro, Brazil",Colégio Liceu Franco-Brasileiro,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,14
Haylee Lyons,Fr.,OH,5-9,"Honolulu, HI",Kalani High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,18
Ashlyn White,Fr.,S,5-8,"Goodyear, AZ",The Odyssey Institute,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,12
Ava Kronenberg,Fr.,MB,6-0,"Ankeny, IA",Ankeny Centennial High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,20
Tessa Onaga,So.,L,5-3,"Honolulu, HI",'lolani School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,16
McKenna Smith,Fr.,L,5-5,"North Pole, AK",North Pole High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,13
Emma McWilliam,So.,L,5-5,"Cape Coral, FL",Island Coast High School,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,21
Elizabeth Jackson,Sr.,MB,6-2,"Graham, NC",Homeschool,12,University of Alaska Fairbanks,30012.0,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25,Alas. Fairbanks,Great Northwest,4
Sydney Melton,Sr.,OH,5-10,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,12
Talia Smith,Jr.,DS,5-5,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,10
Mimi Harris,Jr.,S,5-5,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,6
Gabby Moore,So.,L/DS,5-3,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,4
Kennedi Wallace,Jr.,OH,5-10,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,11
Natalie Onozie,Jr.,S,5-3,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,1
Jarianis Perez,So.,OH,6-0,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,9
Joy Robinson,Sr.,OH,5-9,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,13
Kaylin Teasley,So.,MH,5-11,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,15
Liannette Burgos,---,,-,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,3
Jordan Smith,---,,-,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,8
Jayda Watson,---,,-,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,5
Janella Saputo,Fr.,L/DS,5-4,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,2
Maya Ogbogu,Fr.,MH,5-11,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,14
Shaniya Banks,---,MH,-,,,13,Albany State University (Georgia),913.0,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25,Albany St. (GA),SIAC,16
Maliyah Spencer,Jr.,OH,6-2,"Surprise, AZ",Willow Canyon High School,30240,Allen University,913.0,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25,Allen,SIAC,14
Jayda Woodson,So.,S,5-6,"Rock Hill, SC",South Pointe High School,30240,Allen University,913.0,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25,Allen,SIAC,11
Camile Patterson,So.,MB,6-1,"Darlington, SC",Mayo High School,30240,Allen University,913.0,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25,Allen,SIAC,20
Janae Greene,So.,DS,5-8,"Richmond, VA",William B. Travis High School,30240,Allen University,913.0,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25,Allen,SIAC,1
Tahmiah Lawson,So.,OH,5-8,"Laveen, AZ",Willow Ridge High School,30240,Allen University,913.0,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25,Allen,SIAC,16
Myra Lopez,So.,DS,5-4,"Mesa, AZ",Red Mountain High School,30240,Allen University,913.0,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25,Allen,SIAC,5
Taylor Lawrence,Sr.,MB,6-1,"Ocala, FL",Vanguard High School,30240,Allen University,913.0,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25,Allen,SIAC,22
Shelly Terry,So.,MB,6-1,"Mcdonough, GA",Dutchtown High School,30240,Allen University,913.0,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25,Allen,SIAC,8
